Batchgröße,Speicherverbrauch,,S=1,,,67,
10,5.10,82,count0,batchsize,n,,
20,8.25,,5306,1248,1,,
30,11.32,,9978,838,2,,
40,14.43,,14650,623,3,,
50,17.64,,19322,339,4,500,"1,47492625368732"
60,20.71,,23994,304,5,422,"1,38815789473684"
70,23.92,,28666,277,6,362,
80,27.02,,33338,256,7,314,
90,30.24,,38010,236,8,279,
100,33.18,,42682,218,9,253,
110,36.32,,47354,205,10,231,
120,39.39,,,,,,
130,42.62,,S=2,,,,
140,45.80,,24090,506,1,997,
150,48.69,,47322,435,2,623,
160,51.90,,70554,382,3,459,
170,55.09,,93786,339,4,357,
180,58.61,,117018,292,5,,
190,61.22,,140250,256,6,"314,88",
200,64.42,,163482,229,7,"281,67",
210,67.85,,186714,204,8,"250,92",
220,70.70,,209946,184,9,"226,32",
230,73.70,,233178,171,10,"210,33",
240,77.31,,,,,0,
250,80.17,,S=3,,,0,
256,81.79,,98522,506,1,"622,38",
260,83.03,,195738,434,2,"533,82",
270,86.06,,292954,365,3,"448,95",
280,89.46,,390170,301,4,"370,23",
290,92.41,,487386,256,5,"314,88",
300,95.27,,584602,223,6,"274,29",
,,,681818,198,7,"243,54",
,,,779034,175,8,"215,25",
,,,876250,161,9,"198,03",
,,,973466,147,10,"180,81",
,,,,,,,
Grenze,BEI,,82,,,,
